Drone position: (0.060396854373043214, 0.15566312008609146) at time 155.364
Drone position: (0.06039685425092589, 0.1667819142580452) at time 155.38
Drone position: (0.06039685420243847, 0.17790070878335262) at time 155.404
Drone position: (0.06039685419544401, 0.18901950357299008) at time 155.42
Drone position: (0.06794646080307712, 0.2001382970535457) at time 155.444
Drone position: (0.06794646079608266, 0.21125709184318311) at time 155.464
Drone position: (0.0679464607991754, 0.2223758869754759) at time 155.484
Drone position: (0.07549606756342436, 0.23349468133804518) at time 155.504
Drone position: (0.0754960675923072, 0.24461347740424758) at time 155.524
Drone position: (0.07549606756456627, 0.25573227111609464) at time 155.56
Drone position: (0.0830456741985604, 0.2779698604195846) at time 155.592
Drone position: (0.0830456739498531, 0.3113262456876482) at time 155.632
Drone position: (0.09059528044912091, 0.34468262983800224) at time 155.68
Drone position: (0.09814488685011062, 0.40027660437039314) at time 155.724
Drone position: (0.10569449340348042, 0.43363299000141753) at time 155.772
Drone position: (0.10569449345058794, 0.4447517869021421) at time 155.784
Drone position: (0.1132440999543284, 0.4669893760195906) at time 155.804
Drone position: (0.11324409950735205, 0.5114645573846539) at time 155.852
Drone position: (0.12079370606072184, 0.5448209436460951) at time 155.892
Drone position: (0.12834331218053324, 0.5892961255434662) at time 155.936
Drone position: (0.13589291795921182, 0.656008898523251) at time 155.984
Drone position: (0.143442524222458, 0.7004840815850665) at time 156.024
Drone position: (0.1434425238057444, 0.7338404688511339) at time 156.04
Drone position: (0.1509921303731031, 0.7449592642724664) at time 156.064
Drone position: (0.15099212997713599, 0.7783156519859071) at time 156.1
Drone position: (0.1660913419123122, 0.856147223085405) at time 156.144
Drone position: (0.16609134137795392, 0.8895036107513543) at time 156.18
Drone position: (0.1736409475299789, 0.9117412039039727) at time 156.184
Drone position: (0.17364094725051346, 0.9339787959360272) at time 156.212
Drone position: (0.18119055266120274, 0.9895727762098692) at time 156.256
Drone position: (0.18874015834615254, 1.0451667588570936) at time 156.296
Drone position: (0.19628976331823983, 1.111879535541163) at time 156.332
Drone position: (0.2038393685219516, 1.1674735171615298) at time 156.376
Drone position: (0.21138897376967822, 1.2230674999199116) at time 156.408
Drone position: (0.21893857890228194, 1.2786614833214434) at time 156.456
Drone position: (0.22648818428473488, 1.3231366706025443) at time 156.504
Drone position: (0.23403778874271497, 1.4009682486953483) at time 156.548
Drone position: (0.24158739345127658, 1.4565622319256069) at time 156.596
Drone position: (0.24913699919186844, 1.4787998261232922) at time 156.608
Drone position: (0.24913699847575188, 1.5010374199198175) at time 156.624
Drone position: (0.2566866029465023, 1.5566314037065723) at time 156.668
Drone position: (0.26423620771616035, 1.6011065936278637) at time 156.704
